TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
15,ZOMBIE GAMING,1,51305038996,zbRangelū,75,4,817,173,4,4,3,191,211,26m 28s,0m 6s,45,0,0,8534,2406,0,4,5,0,0,0,1247,8,25,0,0,4,"102003,101006,101003","Vector,AUG A3,SCAR-L",Vector:77.1 / AUG A3:925.2 / SCAR-L:0.0,Vector:0 / AUG A3:4 / SCAR-L:0,Vector:39 / AUG A3:548 / SCAR-L:0,Vector:4 / AUG A3:33 / SCAR-L:0,587,37,6.3
15,ZOMBIE GAMING,1,5592762448,zbChopperū,75,4,302,30,1,2,2,243,294,26m 28s,0m 39s,55,0,1,8648,2333,1,4,1,1,0,0,1247,5,3,1,0,1,"101004,101006,104002","M416,AUG A3,S1897",M416:50.9 / AUG A3:300.8 / S1897:0.0,M416:0 / AUG A3:3 / S1897:0,M416:33 / AUG A3:121 / S1897:2,M416:1 / AUG A3:9 / S1897:0,156,10,6.41
15,ZOMBIE GAMING,1,563771375,zbMariachiū,10,0,128,0,1,0,0,336,249,26m 27s,0m 3s,15,0,0,5193,2229,0,6,2,0,0,0,1247,0,3,0,1,3,"101004,104003,107010","M416,S12K,Arma 107010",M416:127.4 / S12K:0.0 / Arma 107010:0.0,M416:0 / S12K:0 / Arma 107010:0,M416:283 / S12K:0 / Arma 107010:0,M416:7 / S12K:0 / Arma 107010:0,283,7,2.47
15,ZOMBIE GAMING,1,586104537,zbMazapanū,100,0,0,0,0,0,0,197,0,12m 39s,0m 0s,0,0,0,7734,982,0,0,0,0,0,0,1247,0,0,0,0,0,"102002,101003,105001","UMP45,SCAR-L,M249",UMP45:0.0 / SCAR-L:0.0 / M249:0.0,UMP45:0 / SCAR-L:0 / M249:0,UMP45:0 / SCAR-L:0 / M249:0,UMP45:0 / SCAR-L:0 / M249:0,0,0,0
11,OMERTÀ ESPORTS,2,5398133688,OmeEDUUU666,0,4,1094,242,1,6,0,221,111,26m 28s,0m 0s,0,0,1,2264,2514,0,10,3,0,0,0,1283,2,26,1,1,9,"105002,101004,101001,104003,102001","DP-28,M416,AKM,S12K,UZI",DP-28:594.6 / M416:256.0 / AKM:174.1 / S12K:0.0 / UZI:0.0,DP-28:2 / M416:1 / AKM:0 / S12K:0 / UZI:0,DP-28:408 / M416:44 / AKM:21 / S12K:0 / UZI:0,DP-28:24 / M416:10 / AKM:5 / S12K:0 / UZI:0,473,39,8.25
11,OMERTÀ ESPORTS,2,550321488,OmeEDUUU777,0,2,107,42,0,1,0,197,2,25m 49s,0m 0s,0,0,0,1615,2615,1,4,1,0,0,0,1283,0,3,0,0,4,"101004,104003,102002","M416,S12K,UMP45",M416:68.3 / S12K:42.9 / UMP45:0.0,M416:1 / S12K:1 / UMP45:0,M416:160 / S12K:5 / UMP45:0,M416:3 / S12K:4 / UMP45:0,165,7,4.24
11,OMERTÀ ESPORTS,2,5729289535,OmeNInozsz,0,0,82,0,1,0,0,296,90,22m 22s,0m 0s,0,0,0,1951,2603,1,1,0,0,0,0,1283,0,3,0,1,0,"102002,101007,101006,105002","UMP45,QBZ,AUG A3,DP-28",UMP45:51.5 / QBZ:9.6 / AUG A3:20.4 / DP-28:0.0,UMP45:0 / QBZ:0 / AUG A3:0 / DP-28:0,UMP45:36 / QBZ:120 / AUG A3:54 / DP-28:0,UMP45:2 / QBZ:1 / AUG A3:1 / DP-28:0,210,4,1.9
13,IBS ESPORTS,3,5251717282,IBsMadsɞ,0,1,223,6,0,1,1,136,327,26m 4s,3m 43s,222,0,0,6655,2541,1,3,3,0,0,0,777,4,9,1,0,0,"101004,104002,107010","M416,S1897,Arma 107010",M416:0.0 / S1897:207.6 / Arma 107010:0.0,M416:0 / S1897:1 / Arma 107010:0,M416:55 / S1897:14 / Arma 107010:0,M416:0 / S1897:14 / Arma 107010:0,69,14,20.29
13,IBS ESPORTS,3,5222259228,IBsCAPIBARA,0,3,472,11,0,2,0,195,213,26m 4s,1m 59s,127,0,1,11161,2306,0,4,4,1,0,0,777,2,17,0,0,0,"101004,102002,101003,104004,104002,106001","M416,UMP45,SCAR-L,DBS,S1897,P92",M416:130.3 / UMP45:0.0 / SCAR-L:0.0 / DBS:176.0 / S1897:0.0 / P92:0.0,M416:1 / UMP45:0 / SCAR-L:0 / DBS:1 / S1897:0 / P92:0,M416:49 / UMP45:18 / SCAR-L:0 / DBS:15 / S1897:0 / P92:0,M416:4 / UMP45:0 / SCAR-L:0 / DBS:15 / S1897:0 / P92:0,82,19,23.17
13,IBS ESPORTS,3,5128941169,IBsRacingGG,0,0,26,0,0,0,0,259,260,26m 2s,3m 2s,173,0,0,11522,1523,1,2,2,1,0,0,777,0,0,0,0,1,"102002,102001,104002","UMP45,UZI,S1897",UMP45:25.1 / UZI:0.0 / S1897:0.0,UMP45:0 / UZI:0 / S1897:0,UMP45:103 / UZI:36 / S1897:0,UMP45:1 / UZI:0 / S1897:0,139,1,0.72
