TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
,DIE4 THE RUSH NO MERCY,1,520498584,D4One,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIE4 THE RUSH NO MERCY,1,5899236972,D4Nxstyyy,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIE4 THE RUSH NO MERCY,1,557816354,D4Txzyy,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIE4 THE RUSH NO MERCY,1,587521566,D4SWAGU1NNN,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENGOS,2,568524628,RNGJONA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENGOS,2,52371643087,RNGŪBarbas,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENGOS,2,51786450040,RNGquique,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RENGOS,2,5222033488,RNGŪOrion,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ MX,3,586104537,zbMazapanū,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ MX,3,51305038996,zbRangelū,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ MX,3,563771375,zbMariachiū,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TFC,4,5148134954,MEXEragod,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TFC,4,5152912230,tonkaū,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TFC,4,51006779088,MEXRivass,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TFC,4,5541789662,MEXAxeeL,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OMERTA ESPORTS,5,5729289535,OmeNInozsz,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OMERTA ESPORTS,5,5687962504,OmeIbizaaUp,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OMERTA ESPORTS,5,550321488,OmeEDUUU777,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OMERTA ESPORTS,5,5398133688,OmeEDUUU666,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS DIAMOND,6,523673894,rmxFeiis,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS DIAMOND,6,5952649751,rmxMIKE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS DIAMOND,6,572367334,rmxCashh,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS DIAMOND,6,5173652492,rmxMacaquinho,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBS ESPORTS,7,5333102582,IBsOMARgs,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBS ESPORTS,7,5222259228,IBsCAPIBARA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBS ESPORTS,7,5251717282,IBsMadsɞ,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBS ESPORTS,7,5128941169,IBsRacingGG,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS ESPORTS,8,554690722,REūK1ngLuka,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS ESPORTS,8,5174177030,REūShadoooow,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS ESPORTS,8,582464619,REūPapiVic,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS ESPORTS,8,564885710,REūLaCabra,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTB PREMIER,9,5690156496,bestDaddyYT,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTB PREMIER,9,5160409594,bestTitinho,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTB PREMIER,9,51234391428,bestAtzinnnn,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTB PREMIER,9,5200512398,bestMute,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPIOLOS,10,520925090,POLARMX,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPIOLOS,10,5266975098,ツLCڱڱLOBO彡,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPIOLOS,10,52040637086,papurri02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYF ESPORTS,11,5551621809,SyfYULAY,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYF ESPORTS,11,5172948918,SyfMartnz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYF ESPORTS,11,533711767,SyfOceanBiG,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYF ESPORTS,11,533082965,SyfJAVX,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTSTROKES,12,5285865584,stkKurt,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTSTROKES,12,5130408604,NSKxzazú,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTSTROKES,12,5687404070,《YZUMI》,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
