TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
11,QUARRIORS 17,1,573235881,q17PLICULEANDO,75,2,340,91,2,0,1,181,224,23m 52s,0m 6s,42,0,1,3333,2707,0,4,3,1,0,0,1418,3,5,0,0,1,"104003,101004,102002,104001","S12K,M416,UMP45,S686",S12K:0.0 / M416:208.3 / UMP45:103.3 / S686:0.0,S12K:0 / M416:1 / UMP45:0 / S686:0,S12K:0 / M416:101 / UMP45:66 / S686:3,S12K:0 / M416:5 / UMP45:4 / S686:0,170,9,5.29
11,QUARRIORS 17,1,540050143,q17PletsssN,5,5,756,101,1,5,0,94,50,23m 52s,0m 4s,42,0,2,3603,2517,2,3,4,0,0,0,1418,1,18,0,0,11,"101004,104004,101003,102002,106006","M416,DBS,SCAR-L,UMP45,Sawed-off",M416:237.5 / DBS:256.6 / SCAR-L:0.0 / UMP45:42.1 / Sawed-off:0.0,M416:1 / DBS:2 / SCAR-L:0 / UMP45:0 / Sawed-off:0,M416:193 / DBS:28 / SCAR-L:69 / UMP45:25 / Sawed-off:2,M416:10 / DBS:19 / SCAR-L:0 / UMP45:1 / Sawed-off:0,317,30,9.46
11,QUARRIORS 17,1,523596201,q17VeruntaVVS,100,5,322,136,0,2,1,100,114,23m 52s,0m 3s,24,0,0,2661,2564,0,4,1,1,0,0,1418,2,9,1,1,3,"101004,102002,101101,104004,104003","M416,UMP45,Arma 101101,DBS,S12K",M416:143.2 / UMP45:25.4 / Arma 101101:211.8 / DBS:0.0 / S12K:0.0,M416:3 / UMP45:1 / Arma 101101:1 / DBS:0 / S12K:0,M416:47 / UMP45:26 / Arma 101101:28 / DBS:0 / S12K:0,M416:6 / UMP45:1 / Arma 101101:9 / DBS:0 / S12K:0,101,16,15.84
11,QUARRIORS 17,1,5156301072,MERCADOūLIBRE,100,0,0,0,0,0,0,100,0,2m 18s,0m 0s,0,0,0,0,186,0,0,0,0,0,0,1418,0,0,0,0,0,,,,,,,0,0,0
21,SM ESPORTS,2,51764186951,sMxCATINHOOOzz,0,4,1026,198,1,6,0,178,397,23m 52s,7m 9s,327,0,2,7520,2122,0,1,6,0,0,0,1539,3,22,1,1,11,"102002,101004,102004","UMP45,M416,Thompson SMG",UMP45:254.0 / M416:625.3 / Thompson SMG:0.0,UMP45:0 / M416:2 / Thompson SMG:0,UMP45:34 / M416:190 / Thompson SMG:0,UMP45:10 / M416:28 / Thompson SMG:0,224,38,16.96
21,SM ESPORTS,2,5316978748,sMxMota,0,3,463,332,1,2,1,182,300,22m 15s,6m 16s,261,0,0,7866,1834,0,0,0,0,0,0,1539,4,9,1,0,7,"101101,101003,102002,107011","Arma 101101,SCAR-L,UMP45,Arma 107011",Arma 101101:269.2 / SCAR-L:166.7 / UMP45:78.9 / Arma 107011:0.0,Arma 101101:1 / SCAR-L:1 / UMP45:1 / Arma 107011:0,Arma 101101:82 / SCAR-L:99 / UMP45:44 / Arma 107011:0,Arma 101101:9 / SCAR-L:9 / UMP45:3 / Arma 107011:0,225,21,9.33
21,SM ESPORTS,2,5735794651,sMxPersiaa66,0,0,50,0,0,0,0,198,0,2m 21s,0m 0s,0,0,0,0,100,0,0,0,0,0,0,1539,1,0,0,0,0,"106001,102001","P92,UZI",P92:49.9 / UZI:0.0,P92:0 / UZI:0,P92:3 / UZI:25,P92:1 / UZI:0,28,1,3.57
14,PEAK ESPORTS,3,5280495414,PeakDoñaMarta,0,1,235,193,1,0,0,209,436,23m 39s,6m 49s,256,0,0,10827,1938,0,2,4,0,0,0,585,0,5,0,0,7,"101004,102002","M416,UMP45",M416:185.7 / UMP45:54.6,M416:1 / UMP45:0,M416:165 / UMP45:36,M416:10 / UMP45:2,201,12,5.97
14,PEAK ESPORTS,3,5370512387,PeakHede,0,1,247,110,0,1,0,251,301,23m 7s,6m 37s,245,0,0,9101,1633,0,2,3,0,0,0,585,2,3,0,0,4,"101004,101001,101007","M416,AKM,QBZ",M416:223.6 / AKM:0.0 / QBZ:0.0,M416:1 / AKM:0 / QBZ:0,M416:90 / AKM:6 / QBZ:0,M416:9 / AKM:0 / QBZ:0,96,9,9.38
14,PEAK ESPORTS,3,5495377276,PeakDonGocho,0,0,58,0,2,0,0,236,308,22m 50s,6m 56s,259,0,0,12039,2015,0,2,0,0,0,0,585,0,0,0,0,4,"102002,101003,101007,106011","UMP45,SCAR-L,QBZ,Arma 106011",UMP45:0.0 / SCAR-L:70.6 / QBZ:0.0 / Arma 106011:0.0,UMP45:0 / SCAR-L:0 / QBZ:0 / Arma 106011:0,UMP45:9 / SCAR-L:82 / QBZ:0 / Arma 106011:0,UMP45:0 / SCAR-L:4 / QBZ:0 / Arma 106011:0,91,4,4.4
