TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
13,ARKADIANS,1,51726356849,OR・REVS,100,0,102,0,1,0,0,0,0,22m 13s,0m 0s,0,0,0,0,1755,0,2,3,1,0,0,1597,0,0,0,0,0,,,,,,,0,0,0.00
13,ARKADIANS,1,516117251,OR・YUM,99,5,782,143,1,4,1,31,30,22m 13s,0m 0s,0,0,0,0,2998,0,2,4,0,0,0,1597,0,0,0,0,0,,,,,,,0,0,0.00
13,ARKADIANS,1,51938507952,OR・LYO,85,5,484,92,2,4,3,18,83,22m 13s,0m 7s,80,0,0,391,2604,0,0,0,0,0,0,1597,0,0,0,0,0,,,,,,,0,0,0.00
13,ARKADIANS,1,5675466347,OR・BOBA,100,1,229,124,0,2,0,197,0,21m 17s,0m 0s,0,0,0,242,2412,0,0,0,0,0,0,1597,0,0,0,0,0,,,,,,,0,0,0.00
6,INZTINCT,2,51294850202,INzYona,0,1,322,128,1,2,0,191,191,22m 13s,0m 7s,112,0,0,1981,2340,1,0,0,0,0,0,841,3,8,0,0,3,"101004,102002,101003","M416,UMP45,SCAR-L",M416:98.1 / UMP45:174.3 / SCAR-L:123.1,M416:0 / UMP45:2 / SCAR-L:1,M416:51 / UMP45:84 / SCAR-L:30,M416:5 / UMP45:7 / SCAR-L:2,165,14,8.48
6,INZTINCT,2,51950058614,INziToxic,0,2,363,195,0,2,0,100,90,22m 11s,0m 12s,154,0,0,2810,1521,1,0,0,0,0,0,841,0,1,0,0,0,"101006,101003,102004,104002,104003","AUG A3,SCAR-L,Thompson SMG,S1897,S12K",AUG A3:23.9 / SCAR-L:0.0 / Thompson SMG:0.0 / S1897:0.0 / S12K:0.0,AUG A3:0 / SCAR-L:0 / Thompson SMG:0 / S1897:0 / S12K:0,AUG A3:36 / SCAR-L:0 / Thompson SMG:0 / S1897:0 / S12K:0,AUG A3:1 / SCAR-L:0 / Thompson SMG:0 / S1897:0 / S12K:0,36,1,2.78
6,INZTINCT,2,5604638009,INzMau,0,0,42,0,0,0,0,140,17,21m 48s,0m 1s,54,0,0,2941,1935,1,0,0,0,0,0,841,1,12,0,0,2,"101004,102002,101003,104003","M416,UMP45,SCAR-L,S12K",M416:329.8 / UMP45:0.0 / SCAR-L:0.0 / S12K:0.0,M416:1 / UMP45:0 / SCAR-L:0 / S12K:0,M416:131 / UMP45:0 / SCAR-L:6 / S12K:0,M416:15 / UMP45:0 / SCAR-L:0 / S12K:0,137,15,10.95
6,INZTINCT,2,5534885034,INzZakK,0,0,114,0,1,0,0,282,89,21m 44s,0m 0s,0,0,0,2073,2451,1,0,0,0,0,0,841,3,9,0,1,4,"101003,104003","SCAR-L,S12K",SCAR-L:366.2 / S12K:80.6,SCAR-L:1 / S12K:1,SCAR-L:158 / S12K:6,SCAR-L:11 / S12K:6,164,17,10.37
9,KOMANDOS UNIDOS,3,5389929087,KU2Juan77k,0,4,741,71,1,4,1,98,124,21m 36s,0m 7s,126,0,1,2963,1851,0,1,3,0,0,0,1312,0,11,1,1,4,"101006,102002,104004","AUG A3,UMP45,DBS",AUG A3:275.9 / UMP45:0.0 / DBS:0.0,AUG A3:0 / UMP45:0 / DBS:0,AUG A3:130 / UMP45:0 / DBS:0,AUG A3:17 / UMP45:0 / DBS:0,130,17,13.08
9,KOMANDOS UNIDOS,3,5197890636,KU2Loki7k,0,3,362,177,1,2,0,132,32,21m 36s,0m 0s,0,0,0,2119,1716,0,2,1,0,0,0,1312,1,4,0,0,2,"101003,105001,101001,107010","SCAR-L,M249,AKM,Arma 107010",SCAR-L:161.9 / M249:0.0 / AKM:0.0 / Arma 107010:0.0,SCAR-L:0 / M249:0 / AKM:0 / Arma 107010:0,SCAR-L:145 / M249:0 / AKM:0 / Arma 107010:4,SCAR-L:7 / M249:0 / AKM:0 / Arma 107010:0,149,7,4.70
9,KOMANDOS UNIDOS,3,5258447630,KU2LeSam77,0,1,75,64,0,0,0,40,0,21m 36s,0m 6s,60,0,0,12,2299,0,1,0,1,0,0,1312,0,0,0,0,0,"102002,107010,104003","UMP45,Arma 107010,S12K",UMP45:0.0 / Arma 107010:0.0 / S12K:0.0,UMP45:0 / Arma 107010:0 / S12K:0,UMP45:20 / Arma 107010:6 / S12K:0,UMP45:0 / Arma 107010:0 / S12K:0,26,0,0.00
9,KOMANDOS UNIDOS,3,5112132059,KU2Zeus,0,0,134,0,1,0,0,193,0,16m 5s,0m 0s,0,0,0,187,1951,0,0,0,0,0,0,1312,0,0,0,1,0,"101006,104003","AUG A3,S12K",AUG A3:9.8 / S12K:0.0,AUG A3:0 / S12K:0,AUG A3:85 / S12K:0,AUG A3:1 / S12K:0,85,1,1.18
15,BATSPARTAN,4,5305441655,BSxCHELAS,0,0,179,0,0,1,0,143,113,21m 20s,0m 7s,70,0,0,4523,1838,0,2,1,0,0,0,723,2,15,3,0,3,"101007,104003,106008,103100","QBZ,S12K,Skorpion,MK12",QBZ:139.1 / S12K:132.5 / Skorpion:133.9 / MK12:0.0,QBZ:0 / S12K:1 / Skorpion:1 / MK12:0,QBZ:142 / S12K:12 / Skorpion:20 / MK12:0,QBZ:5 / S12K:12 / Skorpion:6 / MK12:0,174,23,13.22
15,BATSPARTAN,4,5299337510,BSxFEDERALŪgg,0,1,261,86,0,1,1,100,10,21m 20s,0m 1s,10,0,0,4293,1402,1,0,0,0,0,0,723,0,0,0,0,0,"101004,104003,106003","M416,S12K,R1895",M416:0.0 / S12K:0.0 / R1895:0.0,M416:0 / S12K:0 / R1895:0,M416:62 / S12K:10 / R1895:0,M416:0 / S12K:0 / R1895:0,72,0,0.00
15,BATSPARTAN,4,5672165692,BSxRamzes,0,0,19,0,0,0,0,168,98,21m 20s,0m 3s,40,0,0,4187,1574,0,1,0,0,0,0,723,0,5,0,0,1,"104003,101003,104004","S12K,SCAR-L,DBS",S12K:78.0 / SCAR-L:0.0 / DBS:0.0,S12K:0 / SCAR-L:0 / DBS:0,S12K:6 / SCAR-L:127 / DBS:0,S12K:6 / SCAR-L:0 / DBS:0,133,6,4.51
15,BATSPARTAN,4,5232819365,BSxKEVIN,0,2,264,148,0,1,1,181,0,21m 12s,0m 0s,0,0,0,4424,1604,0,0,0,0,0,0,723,0,1,0,0,1,"104004,101004,102005","DBS,M416,PP19",DBS:0.0 / M416:38.9 / PP19:0.0,DBS:0 / M416:0 / PP19:0,DBS:4 / M416:106 / PP19:0,DBS:0 / M416:2 / PP19:0,110,2,1.82
8,ALL STAR ESPORTS,5,51301453461,ASEORNNYYYYYY,0,2,467,200,1,3,0,471,247,19m 53s,0m 0s,0,0,1,2259,1968,0,0,2,0,0,0,1353,0,1,0,0,2,"101006,101001,103006,103100","AUG A3,AKM,Mini14,MK12",AUG A3:47.9 / AKM:0.0 / Mini14:0.0 / MK12:0.0,AUG A3:0 / AKM:0 / Mini14:0 / MK12:0,AUG A3:217 / AKM:0 / Mini14:0 / MK12:0,AUG A3:3 / AKM:0 / Mini14:0 / MK12:0,217,3,1.38
8,ALL STAR ESPORTS,5,5114407339,ASELEY,0,1,163,5,2,0,0,177,102,19m 53s,0m 2s,24,0,0,2694,3085,2,1,0,0,0,0,1353,0,6,2,0,4,"101004,104004","M416,DBS",M416:224.3 / DBS:0.0,M416:0 / DBS:0,M416:216 / DBS:0,M416:12 / DBS:0,216,12,5.56
