TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
3,ALL STAR ESPORTS,1,5132929308,ASEGELOOOXX,83,4,438,150,0,4,0,78,343,22m 20s,5m 54s,281,0,2,7158,1432,2,0,6,0,0,0,1552,0,0,0,0,0,"101006,104003,104002","AUG A3,S12K,S1897",AUG A3:0.0 / S12K:0.0 / S1897:0.0,AUG A3:0 / S12K:0 / S1897:0,AUG A3:19 / S12K:0 / S1897:0,AUG A3:0 / S12K:0 / S1897:0,19,0,0.00
3,ALL STAR ESPORTS,1,5114407339,ASELEY,75,5,515,195,0,2,0,242,569,22m 20s,5m 16s,372,0,2,3279,3471,0,1,1,0,0,0,1552,0,0,0,0,0,"101004,104004,104003","M416,DBS,S12K",M416:0.0 / DBS:0.0 / S12K:0.0,M416:0 / DBS:0 / S12K:0,M416:23 / DBS:0 / S12K:0,M416:0 / DBS:0 / S12K:0,23,0,0.00
3,ALL STAR ESPORTS,1,5772658003,ASELOURYYYjpg,100,1,275,50,1,1,0,0,242,22m 20s,5m 21s,242,0,0,4229,2999,1,3,1,2,0,0,1552,0,1,0,0,0,"101004,104003,101006","M416,S12K,AUG A3",M416:21.8 / S12K:0.0 / AUG A3:0.0,M416:0 / S12K:0 / AUG A3:0,M416:97 / S12K:0 / AUG A3:0,M416:1 / S12K:0 / AUG A3:0,97,1,1.03
3,ALL STAR ESPORTS,1,51301453461,ASEORNNYYYYYY,10,3,324,278,1,1,1,299,474,22m 20s,5m 54s,352,0,1,3365,2456,0,3,3,0,0,0,1552,0,0,0,0,0,"104003,101007,101006","S12K,QBZ,AUG A3",S12K:0.0 / QBZ:0.0 / AUG A3:0.0,S12K:0 / QBZ:0 / AUG A3:0,S12K:0 / QBZ:0 / AUG A3:0,S12K:0 / QBZ:0 / AUG A3:0,0,0,0.00
4,TFC,2,5541789662,MEXAxeeL,0,2,449,10,2,2,1,286,309,22m 20s,2m 30s,132,0,0,3367,1803,0,1,2,0,0,0,1253,2,12,1,0,4,"101004,104004","M416,DBS",M416:498.5 / DBS:0.0,M416:3 / DBS:0,M416:229 / DBS:0,M416:19 / DBS:0,229,19,8.30
4,TFC,2,5152912230,tonkaū,0,2,322,97,1,1,2,254,287,22m 20s,2m 38s,133,0,0,3840,3111,0,5,1,1,0,0,1253,7,18,3,1,4,"101006,104003","AUG A3,S12K",AUG A3:842.9 / S12K:0.0,AUG A3:3 / S12K:0,AUG A3:420 / S12K:0,AUG A3:33 / S12K:0,420,33,7.86
4,TFC,2,5148134954,MEXEragod,0,4,458,121,0,4,0,229,179,21m 32s,2m 34s,145,0,0,6540,2392,1,1,1,1,0,0,1253,1,9,0,0,4,"101004,104003,107010","M416,S12K,Arma 107010",M416:321.6 / S12K:0.0 / Arma 107010:0.0,M416:2 / S12K:0 / Arma 107010:0,M416:211 / S12K:7 / Arma 107010:0,M416:14 / S12K:0 / Arma 107010:0,218,14,6.42
4,TFC,2,51006779088,MEXRivass,0,0,24,0,0,0,0,181,121,15m 34s,2m 37s,121,0,0,1474,2058,0,0,0,0,0,0,1253,3,21,0,0,9,"102002,101004","UMP45,M416",UMP45:0.0 / M416:769.8,UMP45:0 / M416:4,UMP45:0 / M416:255,UMP45:0 / M416:33,255,33,12.94
5,INCOGNIT EVOLUTION,3,5582662785,invgSAD09,0,0,270,0,0,2,0,128,28,21m 44s,0m 0s,0,0,0,620,2525,0,0,2,0,0,0,804,0,3,0,0,2,"101004,101003,104004,104003","M416,SCAR-L,DBS,S12K",M416:104.9 / SCAR-L:0.0 / DBS:0.0 / S12K:0.0,M416:0 / SCAR-L:0 / DBS:0 / S12K:0,M416:63 / SCAR-L:27 / DBS:0 / S12K:0,M416:5 / SCAR-L:0 / DBS:0 / S12K:0,90,5,5.56
5,INCOGNIT EVOLUTION,3,5200453950,invgRR,0,1,269,187,0,1,1,127,27,21m 44s,0m 0s,0,0,0,2118,2128,1,0,1,0,0,0,804,3,3,1,0,3,"101003,101004,104003","SCAR-L,M416,S12K",SCAR-L:58.5 / M416:277.8 / S12K:0.0,SCAR-L:1 / M416:2 / S12K:0,SCAR-L:97 / M416:56 / S12K:0,SCAR-L:3 / M416:7 / S12K:0,153,10,6.54
5,INCOGNIT EVOLUTION,3,591076293,invgKennyDanL,0,0,265,0,0,0,0,209,90,21m 42s,0m 0s,0,0,0,1955,2324,0,0,1,1,0,0,804,1,4,1,3,7,"104003,101004","S12K,M416",S12K:0.0 / M416:297.5,S12K:0 / M416:3,S12K:0 / M416:135,S12K:0 / M416:16,135,16,11.85
5,INCOGNIT EVOLUTION,3,5325340274,invgKilla04,0,0,0,0,0,0,0,197,0,8m 46s,0m 0s,0,0,0,164,1591,0,0,2,0,0,0,804,5,6,1,0,2,"101004,104004","M416,DBS",M416:203.5 / DBS:101.9,M416:1 / DBS:0,M416:106 / DBS:6,M416:8 / DBS:6,112,14,12.50
9,FOX POWER,4,5132907175,FXPMelgar7,0,3,630,138,2,3,0,220,120,21m 39s,0m 0s,0,0,0,1934,2409,0,0,2,0,0,0,2217,0,0,0,0,0,"101006,102002,104004","AUG A3,UMP45,DBS",AUG A3:0.0 / UMP45:0.0 / DBS:0.0,AUG A3:0 / UMP45:0 / DBS:0,AUG A3:34 / UMP45:0 / DBS:0,AUG A3:0 / UMP45:0 / DBS:0,34,0,0.00
9,FOX POWER,4,5529744704,FXPSTRAPPPM,0,3,931,187,3,4,0,240,140,21m 39s,0m 0s,0,0,0,1309,3296,1,1,4,2,0,0,2217,1,2,0,0,2,"101004,104004","M416,DBS",M416:127.1 / DBS:0.0,M416:1 / DBS:0,M416:31 / DBS:0,M416:5 / DBS:0,31,5,16.13
9,FOX POWER,4,574748484,FXPCHOCO,0,3,389,252,1,3,1,305,85,14m 30s,0m 0s,0,0,1,989,1919,0,0,2,0,0,0,2217,0,1,0,0,0,"101004,104003","M416,S12K",M416:25.9 / S12K:0.0,M416:0 / S12K:0,M416:38 / S12K:0,M416:1 / S12K:0,38,1,2.63
9,FOX POWER,4,5821181084,FXPCxntury117,0,1,267,15,2,2,0,248,68,14m 8s,0m 2s,6,0,0,731,1579,0,1,0,0,0,0,2217,0,3,0,0,0,"101004,104004","M416,DBS",M416:81.8 / DBS:0.0,M416:0 / DBS:0,M416:39 / DBS:0,M416:3 / DBS:0,39,3,7.69
11,EGO INVICTUS,5,5523001339,ego1vnū9,0,1,168,7,0,0,0,297,255,21m 21s,0m 9s,100,0,0,130,2231,0,0,1,0,0,0,1050,2,6,3,1,3,"102002,101006","UMP45,AUG A3",UMP45:64.7 / AUG A3:272.8,UMP45:0 / AUG A3:1,UMP45:27 / AUG A3:115,UMP45:3 / AUG A3:12,142,15,10.56
11,EGO INVICTUS,5,550068323,egoMonesy,0,2,389,74,1,3,1,338,188,21m 21s,0m 0s,0,0,0,195,2782,0,3,1,0,0,0,1050,0,0,0,0,0,"101003,104003","SCAR-L,S12K",SCAR-L:0.0 / S12K:0.0,SCAR-L:0 / S12K:0,SCAR-L:14 / S12K:0,SCAR-L:0 / S12K:0,14,0,0.00
11,EGO INVICTUS,5,5430396222,egoZenn,0,1,239,2,1,1,0,370,197,19m 7s,0m 4s,25,0,0,228,2255,2,1,1,0,0,0,1050,2,6,0,1,1,"101101,104003,106008","ASM Abakan,S12K,Skorpion",ASM Abakan:281.5 / S12K:0.0 / Skorpion:0.0,ASM Abakan:1 / S12K:0 / Skorpion:0,ASM Abakan:121 / S12K:0 / Skorpion:0,ASM Abakan:10 / S12K:0 / Skorpion:0,121,10,8.26
11,EGO INVICTUS,5,5157369636,egoELPatroonn,0,1,254,2,2,1,0,196,0,2m 32s,0m 0s,0,0,0,0,278,1,0,0,0,0,0,1050,1,2,0,0,1,"101004,101101,102001","M416,ASM Abakan,UZI",M416:95.6 / ASM Abakan:0.0 / UZI:0.0,M416:0 / ASM Abakan:0 / UZI:0,M416:144 / ASM Abakan:0 / UZI:0,M416:4 / ASM Abakan:0 / UZI:0,144,4,2.78
8,KOMANDOS UNIDOS,6,5197890636,KU2Loki7k,0,5,698,163,0,5,1,99,0,20m 24s,0m 0s,0,0,0,1475,1275,0,2,0,0,0,0,819,0,0,0,0,0,"102002,101001,105002","UMP45,AKM,DP-28",UMP45:0.0 / AKM:0.0 / DP-28:0.0,UMP45:0 / AKM:0 / DP-28:0,UMP45:0 / AKM:0 / DP-28:25,UMP45:0 / AKM:0 / DP-28:0,25,0,0.00
8,KOMANDOS UNIDOS,6,5112132059,KU2Zeus,0,0,121,0,1,1,0,266,117,19m 29s,0m 0s,0,0,0,1333,1033,0,0,0,0,0,0,819,0,1,0,1,1,"102005,101003,104004","PP19,SCAR-L,DBS",PP19:54.5 / SCAR-L:0.0 / DBS:0.0,PP19:0 / SCAR-L:0 / DBS:0,PP19:39 / SCAR-L:0 / DBS:0,PP19:3 / SCAR-L:0 / DBS:0,39,3,7.69
8,KOMANDOS UNIDOS,6,5389929087,KU2Juan77k,0,0,0,0,0,0,0,215,50,19m 29s,0m 0s,0,0,0,984,1520,3,1,0,0,0,0,819,0,3,0,0,0,"101003,101008,104003,106003","SCAR-L,M762,S12K,R1895",SCAR-L:83.4 / M762:0.0 / S12K:0.0 / R1895:0.0,SCAR-L:0 / M762:0 / S12K:0 / R1895:0,SCAR-L:27 / M762:13 / S12K:0 / R1895:0,SCAR-L:3 / M762:0 / S12K:0 / R1895:0,40,3,7.50
8,KOMANDOS UNIDOS,6,5258447630,KU2LeSam77,0,0,0,0,0,0,0,223,16,13m 15s,0m 0s,0,0,0,680,987,0,0,0,0,0,0,819,3,1,0,0,9,"102002,104002,107008,106002","UMP45,S1897,Arma 107008,P1911",UMP45:0.0 / S1897:214.4 / Arma 107008:11.9 / P1911:0.0,UMP45:0 / S1897:1 / Arma 107008:0 / P1911:0,UMP45:55 / S1897:12 / Arma 107008:1 / P1911:0,UMP45:0 / S1897:12 / Arma 107008:1 / P1911:0,68,13,19.12
