TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%)
,VENDETTA ,1,524401522,vdūXYLON,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VENDETTA ,1,510546165,vdzouzou,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VENDETTA ,1,570555477,vdStray,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VENDETTA ,1,5828074453,vdTURY,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOX POWER ,2,5132907175,FXPMelgar7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOX POWER ,2,5529744704,FXPSTRAPPPM,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOX POWER ,2,5821181084,FXPCxntury117,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOX POWER ,2,574748484,FXPCHOCO,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGO INVICTUS ,3,550068323,egoMonesy,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGO INVICTUS ,3,5523001339,ego1vnū9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGO INVICTUS ,3,5157369636,egoELPatroonn,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGO INVICTUS ,3,5430396222,egoZenn,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS ,4,5258447630,KU2LeSam77,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS ,4,5389929087,KU2Juan77k,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS ,4,5197890636,KU2Loki7k,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KOMANDOS UNIDOS ,4,5112132059,KU2Zeus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS ,5,576864809,TUKIū,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS ,5,5256481428,slpRetired,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS ,5,515409759,slpLucio,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAILING ESPORTS ,5,589683796,INzViglez,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES ,6,584949513,vipLONCHEEE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES ,6,524364608,vipFoquiño,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES ,6,5390660541,Xoleyyy,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOS FOQUEMONES ,6,51902001021,PIOxMelon,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY ESPORTS ,7,589643926,FyXevation,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY ESPORTS ,7,5175612248,FySwayy,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY ESPORTS ,7,5564076596,FyExtssy,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY ESPORTS ,7,5136351915,FySlicky,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INZTINCT ,8,5534885034,INzZakK,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INZTINCT ,8,581277505,INzCouuper,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INZTINCT ,8,51294850202,INzYona,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INZTINCT ,8,5604638009,INzMau,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZOMBIE BOYS ,9,5538104950,zbDrxgønzz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZOMBIE BOYS ,9,511151005,zbGOLDENZADA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZOMBIE BOYS ,9,5559788870,zbCisneGod,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZOMBIE BOYS ,9,5196654254,zbHansel,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OMERTA ESPORTS,10,550321488,OmeEDUUU777,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OMERTA ESPORTS,10,5398133688,OmeEDUUU666,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OMERTA ESPORTS,10,5729289535,OmeNInozsz,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS ESPORTS ,11,554690722,REūK1ngLuka,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS ESPORTS ,11,5174177030,REūShadoooow,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS ESPORTS ,11,564885710,REūLaCabra,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIDERS ESPORTS ,11,582464619,REūPapiVic,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ MX ,12,586104537,zbMazapanū,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBZ MX ,12,563771375,zbMariachiū,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
